awa [rad],cx,cy,ck,cn,awa
-3.141592653589793,0.842,0.005,0.008,0.007,-3.141592653589793
-2.9670597283903604,0.825,0.16,0.2,-0.031,-2.9670597283903604
-2.7925268031909276,0.811,0.346,0.418,-0.063,-2.7925268031909276
-2.617993877991494,0.73,0.577,0.698,-0.094,-2.617993877991494
-2.443460952792061,0.443,0.752,0.9,-0.121,-2.443460952792061
-2.2689280275926285,0.198,0.899,1.06,-0.13,-2.2689280275926285
-2.0943951023931957,-0.111,0.997,1.143,-0.116,-2.0943951023931957
-1.919862177193762,-0.384,1.051,1.164,-0.1,-1.919862177193762
-1.7453292519943293,-0.365,1.104,1.212,-0.08,-1.7453292519943293
-1.5707963267948966,-0.129,1.136,1.249,-0.045,-1.5707963267948966
-1.3962634015954638,-0.007,1.177,1.29,-0.012,-1.3962634015954638
-1.2217304763960293,-0.007,1.197,1.318,0.019,-1.2217304763960293
-1.0471975511965965,0.071,1.192,1.31,0.071,-1.0471975511965965
-0.8726646259971638,-0.075,1.121,1.246,0.087,-0.8726646259971638
-0.698131700797731,-0.328,0.9,1.014,0.077,-0.698131700797731
-0.5235987755982983,-0.546,0.669,0.77,0.064,-0.5235987755982983
-0.3490658503988655,-0.623,0.4,0.464,0.048,-0.3490658503988655
-0.17453292519943275,-0.618,0.172,0.205,0.024,-0.17453292519943275
0.0,-0.596,0.002,0.007,-0.001,0.0
0.0,-0.575,-0.001,-0.003,-0.002,0.0
0.17453292519943275,-0.627,-0.181,-0.205,-0.03,0.17453292519943275
0.34906585039886595,-0.624,-0.381,-0.424,-0.057,0.34906585039886595
0.5235987755982987,-0.537,-0.611,-0.675,-0.076,0.5235987755982987
0.6981317007977319,-0.365,-0.861,-0.935,-0.097,0.6981317007977319
0.8726646259971647,-0.191,-0.977,-1.052,-0.106,0.8726646259971647
1.0471975511965974,-0.252,-0.952,-1.025,-0.068,1.0471975511965974
1.221730476396031,-0.272,-1.001,-1.07,-0.054,1.221730476396031
1.3962634015954638,-0.359,-1.003,-1.071,-0.032,1.3962634015954638
1.5707963267948966,-0.316,-1.017,-1.08,0.003,1.5707963267948966
1.7453292519943293,-0.174,-1.01,-1.073,0.039,1.7453292519943293
1.919862177193762,0.1,-1.018,-1.092,0.076,1.919862177193762
2.094395102393195,0.434,-0.96,-1.047,0.101,2.094395102393195
2.2689280275926285,0.678,-0.883,-0.968,0.127,2.2689280275926285
2.443460952792061,0.849,-0.75,-0.838,0.129,2.443460952792061
2.617993877991495,0.943,-0.555,-0.625,0.1,2.617993877991495
2.7925268031909276,0.948,-0.35,-0.398,0.072,2.7925268031909276
2.9670597283903604,0.894,-0.167,-0.194,0.046,2.9670597283903604
